ruta,tipo,bytes,sha256
src/main/res/drawable/widget_ic_star.xml,drawable,336,51a1d925b2d202beeb903ec828f67bf8459ba893a877620519576469ea88dc51
src/main/res/drawable/widget_ic_star_outline.xml,drawable,432,250a3de1b71ce34226a31845b29fa193d558b7f48730870e9e15ef8ebbac9108
src/main/res/drawable/widget_ic_work.xml,drawable,338,8b376280b731d7388f9a272d77af4c27cf6c98fb9a2fa97a690e8685c56d6fed
src/main/res/drawable/widget_icon_circle.xml,drawable,294,171829d7157d30ed2465310110ec7945ef68c5fbc315b4d2833941e180f8c62a
src/main/res/drawable/widget_metric_background.xml,drawable,280,eae9967f05cfb36f3cb1160f4d7f491c13ba66eef88fc82014854a84b22fcab5
src/main/res/drawable/widget_metric_card_dark.xml,drawable,280,5ecc024af08253cc4cb6dc11e9f14a5e408f67d2e443620ab6339730a07f84dc
src/main/res/drawable/widget_metric_card_light.xml,drawable,280,006bbaaf33d51ee23af9e2963a584e817147163c47443bb8616cab8ced730c2b
src/main/res/drawable/widget_note_background.xml,drawable,335,d91d3c605d3834713f14b6564296a54f3fa59ceddeaa179f6d4238bf8843b4b7
src/main/res/drawable/widget_note_background_favorite.xml,drawable,335,2f1aa0c7822725a29520fa9b3d2e945f7b6d3badad52b6de35bb616c9d4169b5
src/main/res/drawable/widget_note_card_dark.xml,drawable,280,aabe6d76586e77883c9508bebdefdc294e88b411601f1f54e75523ae780402f1
src/main/res/drawable/widget_note_card_light.xml,drawable,280,caf2ae2648f01cc88f65d1bd2a060d77aece42c933850a8b1c971a7036e382f1
src/main/res/drawable/widget_palette_blue_0_root.xml,drawable,278,8b0eea020515ffd3faab01e85d57cce10c8485474a2d1ef323789fecbb459bf2
src/main/res/drawable/widget_palette_blue_1_root.xml,drawable,278,ff072a6af692c73ad5106fee58912048b00ead972459d605fbd084ce771c7959
src/main/res/drawable/widget_palette_blue_2_root.xml,drawable,278,a23a89e5362b81accba29ae19e2412deae7d5a5011407e6ddf5db360f7dec4d7
src/main/res/drawable/widget_palette_blue_3_root.xml,drawable,278,cb40e79395dbcca5c317122b493b47fbabef655ea2e1b821deb69ecedc2b5deb
src/main/res/drawable/widget_palette_cherry_0_root.xml,drawable,278,b9dee0498e3b258a5539714277bfae283594dc5b5811be766ae3d74fce30f5e3
src/main/res/drawable/widget_palette_cherry_1_root.xml,drawable,278,992d816ed0f0cd63ffded91d56e29390d4783fd451903aa3b21ddd1108ce7b94
src/main/res/drawable/widget_palette_cherry_2_root.xml,drawable,278,1d057f10988b04f7d5c7d64488c2de155f0a5228b0a37e74119e44fe2a86f687
src/main/res/drawable/widget_palette_cherry_3_root.xml,drawable,278,955f00534b41e52b4a1fb5f47af0242812840be8dabc1ef5e7684c5a7111d716
src/main/res/drawable/widget_palette_classic_0_root.xml,drawable,278,4dc8ddf9508f503d59f9d6845571811bbcc4eb60e6cca6e4d04fc37a2b094576
src/main/res/drawable/widget_palette_classic_1_root.xml,drawable,278,1c774ec7aca9f415230e3c12d4e3ad3175f5d0b144b52fdacc03f5cfd52da0ed
src/main/res/drawable/widget_palette_classic_2_root.xml,drawable,278,31dc878dea2d0e390349ee97b192602e94c8178064402c6912c91f7f62dcb0fe
src/main/res/drawable/widget_palette_classic_3_root.xml,drawable,278,fd78aadffd5d2ebd8fa7b03b11f3a73528f4951f1d80a7655eb4e7ba5399d2ee
src/main/res/drawable/widget_palette_coffee_0_root.xml,drawable,278,b290ad0a7a2249e2839503c9cc10d7d78fd2dfbc8982831c94f6d136e6d41b77
src/main/res/drawable/widget_palette_coffee_1_root.xml,drawable,278,f916af25c16ead2eda5074d862a0efe560c3ad2ad9621a8192d9850da078f313
src/main/res/drawable/widget_palette_coffee_2_root.xml,drawable,278,54e983ee3fdc5f1e51114c681abea6c9cad20702aea4fcb48a3db84f2d5d9a31
src/main/res/drawable/widget_palette_coffee_3_root.xml,drawable,278,39c7c01ad2bd6f95f047670a07785e777a5b89cd5d6eb1fb837460a55d5cca97
src/main/res/drawable/widget_palette_coral_0_root.xml,drawable,278,636340a40dd9623b2999ad60d438581808d98c85cd850e6bb45c8d39ba901274
src/main/res/drawable/widget_palette_coral_1_root.xml,drawable,278,ed7514cebdab9558eae321c8bf32529029b789d4dca2e67ffb4079d6d71be2f7
src/main/res/drawable/widget_palette_coral_2_root.xml,drawable,278,ac2e5b0bac87e86184166706e53b7bb6f9b84ee3501a636b259dfa22e0065a31
src/main/res/drawable/widget_palette_coral_3_root.xml,drawable,278,abd7e6966122efec82fd8cfcfdca462b16409fae912b0caa0ff8b2925af32ebd
src/main/res/drawable/widget_palette_cream_0_root.xml,drawable,278,5d3c8f3f1e43a503fabb465c0fc70c2b2be3014c0f14f4fabd3235e22c50301c
src/main/res/drawable/widget_palette_cream_1_root.xml,drawable,278,65c8ee32f7d6026e22fc057e63c98a5b9ca7618b71d2aed5a8b07fcbf24f3cfe
src/main/res/drawable/widget_palette_cream_2_root.xml,drawable,278,fde635989bc6b3855726d5bf613bd7206dba6208620ba0d872c035d6ea6e23af
src/main/res/drawable/widget_palette_cream_3_root.xml,drawable,278,87a35ed0f143ca72a92bdf88502ef143d47cc72979d41c98ae1b11324ed907aa
src/main/res/drawable/widget_palette_cyan_0_root.xml,drawable,278,f952ba66b3d7053b19f9197462ed2d253a1ff385539dc3e97149105b28c0a569
src/main/res/drawable/widget_palette_cyan_1_root.xml,drawable,278,f71933f6fc205fbad1c9620e7f1460b24abb9053b85e8543dcd814421b4f3799
src/main/res/drawable/widget_palette_cyan_2_root.xml,drawable,278,031d7b3393cf5c8327cb3f953e40fa21a8fdf35e4ec4b5b4f9b063cf8bf52634
src/main/res/drawable/widget_palette_cyan_3_root.xml,drawable,278,08f349dbe0a0e3d6cd2d614ca25649af7af1efe64ac3d3b253eacae76a9c7384
src/main/res/drawable/widget_palette_electric_blue_0_root.xml,drawable,278,aeac8cb9629eac0c4b2a194e5be623971726180c5bcb8bac44c04d76b0b9d6fb
src/main/res/drawable/widget_palette_electric_blue_1_root.xml,drawable,278,6daae6725e618298509bbefef1da1a4f12d325e37e222c99a95a8ca0c32c0949
src/main/res/drawable/widget_palette_electric_blue_2_root.xml,drawable,278,5987964eb3c70964fbce3501890731e0da048fd8fec455a66dd50c678356152e
src/main/res/drawable/widget_palette_electric_blue_3_root.xml,drawable,278,0c6832659340203e3a45056aac5b04b326e9fd7b82567bdec4e80706d4ca65ef
src/main/res/drawable/widget_palette_electric_cyan_0_root.xml,drawable,278,5b5690c882d92d022c3371a9e11c2e35c585510b62fa8ee78585fa7ee949f148
src/main/res/drawable/widget_palette_electric_cyan_1_root.xml,drawable,278,304422fe2dd0da0b46c24755bc54b3875a497ae2ef08a738f8e84467b92074d7
src/main/res/drawable/widget_palette_electric_cyan_2_root.xml,drawable,278,78ac59db71b5733d164419b4c657f2388bdc1fd2b6c6f6be5270c5efddabcac3
src/main/res/drawable/widget_palette_electric_cyan_3_root.xml,drawable,278,58a4c0bf4d46b6f759e7d5b8ac03569a5fbecfb008f167776dde7e5a16d93237
src/main/res/drawable/widget_palette_emerald_0_root.xml,drawable,278,9a0d326b0c05dad7db5c007a09fcb4dc34e9e255df9e4cc66891327699a5fb6f
src/main/res/drawable/widget_palette_emerald_1_root.xml,drawable,278,5d6afe6803818ed1d212cde279a742f6843046dcafa939b9ab4fcf55ea8266bd
src/main/res/drawable/widget_palette_emerald_2_root.xml,drawable,278,fdd6cb8d066c9fa5e7da5e6b1e7040976e3cf2fe601c97ab4c559dfa63c2e0d5
src/main/res/drawable/widget_palette_emerald_3_root.xml,drawable,278,35bf1afbcf98aa9b911c7b9c664e9288da543cc45ca9b3c5c6a065c5f1a0bfa0
src/main/res/drawable/widget_palette_forest_0_root.xml,drawable,278,e379485c9543736bbea759799c1e0f8d92896b1f889308e4b3c245630e909090
